Title,Source,PublishedAt,URL
Deepfake ‘Nudify’ Technology Is Getting Darker—and More Dangerous,Wired,2026-01-26T11:30:00Z,https://www.wired.com/story/deepfake-nudify-technology-is-getting-darker-and-more-dangerous/
The Shoes and Brooms Transforming Curling at the 2026 Winter Olympics,Wired,2026-02-08T12:00:00Z,https://www.wired.com/story/the-shoes-and-brooms-transforming-curling-at-the-2026-winter-olympics/
Why Cops Frequently Got Caught Planting Drugs in 2017,Gizmodo.com,2026-02-05T21:10:32Z,https://gizmodo.com/cops-planting-drugs-2010s-body-cameras-2000718559
Grok’s Sexual Deepfakes Will Become Illegal in the UK This Week,Gizmodo.com,2026-01-12T21:55:54Z,https://gizmodo.com/groks-sexual-deepfakes-will-become-illegal-in-the-uk-this-week-2000709212
Palantir Touts $2 Billion in Revenue from Aiding Trump Administration’s ‘Unusual’ Operations,Gizmodo.com,2026-02-03T01:23:13Z,https://gizmodo.com/palantir-touts-2-billion-in-revenue-from-aiding-trump-administrations-unusual-operations-2000717022
Massive overhaul of England and Wales policing announced,BBC News,2026-01-26T17:08:14Z,https://www.bbc.com/news/articles/cp37lryxq4eo
This company could help bring Auracast to an iPhone near you,The Verge,2026-01-09T22:56:41Z,https://www.theverge.com/tech/860010/atitan-bluetooth-auracast-transceiver-ces-2026
Xreal sues Viture over AR glasses patent,The Verge,2026-01-15T15:52:55Z,https://www.theverge.com/gadgets/862542/xreal-viture-smart-glasses-patent-suits
Experian’s tech chief defends credit scores: ‘We’re not Palantir’,The Verge,2026-01-26T14:17:53Z,https://www.theverge.com/podcast/866751/experian-ceo-alex-lintner-credit-scores-ai-privacy-interview
NBC Sports’ new real-time player tracking lets viewers focus on their favorite athletes,The Verge,2026-01-14T14:45:05Z,https://www.theverge.com/tech/861715/nbc-sports-nippon-television-ai-viztrick-aidi-player-tracking-mobile-viewing
How Lego’s Smart Brick works,The Verge,2026-01-13T14:06:13Z,https://www.theverge.com/podcast/861148/lego-smart-brick-claude-code-vergecast
The crypto bill is falling apart in Congress,The Verge,2026-01-28T01:09:33Z,https://www.theverge.com/column/868941/clarity-act-congress-shutdown
Peloton lays off 11 percent of its staff just a few months after launching its AI hardware,The Verge,2026-01-30T23:53:55Z,https://www.theverge.com/gadgets/871422/peloton-layoffs-cost-cutting-2026
Millions of books died so Claude could live,The Verge,2026-02-03T15:19:28Z,https://www.theverge.com/podcast/872998/anthropic-claude-books-netflix-theaters-vergecast
Half of developers think gen AI is bad for the gaming industry,The Verge,2026-01-28T20:35:29Z,https://www.theverge.com/entertainment/869386/ai-game-development-gdc-survey
Apple’s second biggest acquisition ever is an AI company that listens to ‘silent speech’,The Verge,2026-01-29T19:22:27Z,https://www.theverge.com/news/870353/apple-q-ai-acquisition-silent-speech
The US claims it just strongarmed Taiwan into spending $250 billion on American chip manufacturing,The Verge,2026-01-15T21:12:18Z,https://www.theverge.com/news/862938/us-taiwan-chipmaking-deal-250-billion-investment-tsmc
Design Processes to Evolve with Emerging Technology,Harvard Business Review,2026-01-30T13:05:04Z,https://hbr.org/2026/01/design-processes-to-evolve-with-emerging-technology
How AI Companies Got Caught Up in US Military Efforts,Wired,2026-01-14T12:00:00Z,https://www.wired.com/story/book-excerpt-silicon-empires-nick-srnicek/
